@ATTRIBUTE	framewidth	NUMERIC
@ATTRIBUTE	frameheigth	NUMERIC
@ATTRIBUTE	framepersec	NUMERIC
@ATTRIBUTE	duration	NUMERIC
@ATTRIBUTE	framecount	NUMERIC
@ATTRIBUTE	blackcount	NUMERIC
@ATTRIBUTE	whitecount	NUMERIC
@ATTRIBUTE	grayscount	NUMERIC
@ATTRIBUTE	facecount	NUMERIC
@ATTRIBUTE	faceavelocx	NUMERIC
@ATTRIBUTE	faceavelocy	NUMERIC
@ATTRIBUTE	facesumarea	NUMERIC
@DATA
640.0,360.0,30.0,313.0,9390.0,0,0,189,255,368,88,1721214
640.0,360.0,30.0,323.0,9690.0,1,0,105,131,259,113,2000587
640.0,360.0,30.0,127.0,3810.0,2,0,56,51,297,142,232005
640.0,480.0,30.0,125.0,3750.0,1,0,33,47,294,170,2255329
560.0,420.0,30.0,278.0,8340.0,0,0,244,286,218,195,1969838
640.0,360.0,30.0,156.0,4680.0,3,0,73,25,361,63,152893
640.0,480.0,30.0,389.0,11670.0,1,0,23,349,281,192,2645031
640.0,360.0,30.0,186.0,5580.0,0,0,9,216,261,54,491829
560.0,314.0,30.0,157.0,4710.0,0,0,19,110,271,67,708933
640.0,360.0,30.0,241.0,7230.0,12,0,80,92,453,108,589208
560.0,314.0,20.0,229.0,4580.0,5,0,124,7,265,78,53064
640.0,360.0,30.0,2016.0,60480.0,25,0,1912,1283,308,105,14845190
640.0,360.0,30.0,291.0,8730.0,2,0,116,61,247,99,919620
