@relation allvids*allfeats
@attribute letterfcount NUMERIC
@attribute digitfcount NUMERIC
@attribute spcharfcount NUMERIC
@attribute scenecount NUMERIC
@attribute openinglen NUMERIC
@attribute endinglen NUMERIC
@attribute stimgcount NUMERIC
@attribute isCG NUMERIC
@attribute moneyfcount NUMERIC
@attribute framewidth NUMERIC
@attribute frameheigth NUMERIC
@attribute framepersec NUMERIC
@attribute duration NUMERIC
@attribute framecount NUMERIC
@attribute blackcount NUMERIC
@attribute whitecount NUMERIC
@attribute grayscount NUMERIC
@attribute facecount NUMERIC
@attribute faceavelocx NUMERIC
@attribute faceavelocy NUMERIC
@attribute facesumarea NUMERIC
@data
1,0,0,2,1,0,0,1,0,640.0,480.0,30.0,98.0,2940.0,1,0,43,0,-1,-1,0
11,1,0,1,1,2,0,1,0,640.0,360.0,30.0,111.0,3330.0,1,0,72,0,-1,-1,0
0,0,0,1,0,0,0,0,0,640.0,360.0,30.0,45.0,1350.0,0,0,0,61,361,116,976123
4,0,0,1,1,1,0,1,0,640.0,360.0,30.0,74.0,2220.0,7,0,13,0,-1,-1,0
3,0,0,1,1,1,0,0,0,560.0,316.0,30.0,241.0,7230.0,7,0,32,169,367,136,4120963
4,0,0,2,1,0,2,2,0,560.0,420.0,30.0,171.0,5130.0,3,0,62,142,270,144,661318
9,0,0,7,1,1,7,0,0,640.0,360.0,30.0,334.0,10020.0,4,0,78,161,316,136,2366498
1,0,0,1,0,0,1,0,0,560.0,420.0,20.0,65.0,1300.0,0,0,56,16,294,204,83208
5,0,0,2,1,2,0,2,0,640.0,360.0,30.0,180.0,5400.0,3,0,75,17,274,117,299346
7,0,0,1,1,0,4,1,0,560.0,314.0,60.0,306.0,18360.0,0,1,17,0,-1,-1,0
1,0,0,2,1,0,12,0,0,560.0,312.0,30.0,429.0,12870.0,1,0,71,479,315,82,2272620
3,1,0,7,1,0,0,1,0,640.0,360.0,30.0,80.0,2400.0,3,0,23,2,316,106,3872
7,6,0,3,1,0,0,0,0,640.0,360.0,30.0,132.0,3960.0,1,3,38,20,384,107,274442
11,1,2,8,1,1,0,2,0,560.0,314.0,30.0,429.0,12870.0,7,0,275,248,319,118,3509209
14,4,3,2,1,1,10,0,0,640.0,480.0,30.0,365.0,10950.0,5,0,101,238,325,185,4498476
4,0,1,1,1,1,0,1,0,640.0,360.0,30.0,62.0,1860.0,2,0,63,2,238,159,130050
